OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean
48318,2017-09-22 16:21:00+00:00,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,5,36.77803,-121.89948,whale_alert,14343,,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-121.89948 36.77803),,1
48327,2017-09-22 17:17:24+00:00,Megaptera novaeangliae,Humpback,5,36.79505647,-122.067757,whale_alert,14352,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.067757 36.79505647),,1
48652,2017-09-23 17:51:19+00:00,Megaptera novaeangliae,Humpback Whale,5,34.300007,-119.766561,spotter_pro,14524,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.766561 34.300007),,1
48385,2017-09-23 18:01:26+00:00,Megaptera novaeangliae,Humpback,5,34.30288181,-119.7766663,whale_alert,14377,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.7766663 34.30288181),,1
48429,2017-09-24 17:00:34+00:00,Megaptera novaeangliae,Humpback,5,41.80897943,-70.234407,whale_alert,14411,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-70.23440699999999 41.80897943),,1
48630,2017-09-29 19:43:48+00:00,Megaptera novaeangliae,Humpback Whale,5,34.265329,-119.763912,spotter_pro,14508,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.763912 34.265329),,1
48672,2017-09-30 16:18:50+00:00,Megaptera novaeangliae,Humpback,5,41.80897945,-70.234407,whale_alert,14540,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-70.23440699999999 41.80897945),,1
48863,2017-10-08 19:27:38+00:00,Megaptera novaeangliae,Humpback Whale,5,34.332111,-119.859052,spotter_pro,14662,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.859052 34.332111),,1
48977,2017-10-10 15:58:05+00:00,Megaptera novaeangliae,Humpback,5,34.24276117,-119.889124,whale_alert,14690,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.889124 34.24276117),,1
49204,2017-10-19 19:50:21+00:00,Megaptera novaeangliae,Humpback Whale,5,34.292711,-119.538305,spotter_pro,14807,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.538305 34.292711),,1
49726,2017-10-24 17:42:58+00:00,Megaptera novaeangliae,Humpback Whale,5,34.281094,-119.52678,spotter_pro,15008,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.52678 34.281094),,1
49767,2017-11-13 18:01:31+00:00,Megaptera novaeangliae,Humpback Whale,5,34.138466,-119.823076,spotter_pro,15018,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.823076 34.138466),,1
50147,2017-12-10 19:38:00+00:00,Megaptera novaeangliae,Humpback,5,36.76598,-121.95789,whale_alert,15155,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.95789 36.76598),,1
50375,2017-12-29 19:11:07+00:00,Phocoenoides dalli,Dali's Porpoise,5,34.161858,-119.812862,spotter_pro,15311,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254987),POINT (-119.812862 34.161858),,1
